Guidelines,FooTweets,MMTC,PFSMB,RoCS-MT
Gemma-2-9B,0.0,0.0,0.0,0.0
 + FooTweets,0.0,0.0,0.0,0.0
 + MMTC,0.0,0.0,0.0,0.0
 + PFSMB,0.0,0.0,0.0,0.0
 + RoCS-MT,0.0,0.0,0.0,0.0
