Guidelines,FooTweets,MMTC,PFSMB,RoCS-MT
LLaMa-3.1-8B,1.825,0.4,3.088803088803089,1.2486992715920915
 + FooTweets,7.7,1.9,3.861003861003861,3.6420395421436007
 + MMTC,9.049999999999999,3.25,7.078507078507079,4.214360041623309
 + PFSMB,6.3,1.8499999999999999,4.89060489060489,3.3818938605619144
 + RoCS-MT,9.1,1.55,3.2175032175032174,3.7460978147762747
