model,file,urls_per_line,usernames_per_line,hashtags_per_line
facebook/nllb-200-3.3B,test.fr.out.postproc,0.04247104247104247,0.08236808236808237,0.19047619047619047
meta-llama/Llama-3.1-8B-Instruct,test.fr.default.out.postproc,0.05019305019305019,0.0682110682110682,0.14671814671814673
oogle/gemma-2-9b-it,test.fr.default.out.postproc,0.032175032175032175,0.05405405405405406,0.18018018018018017
Unbabel/TowerInstruct-7B-v0.2,test.fr.default.out.postproc,0.06692406692406692,0.0888030888030888,0.21364221364221364
