model,file,bleu,chrf2,comet,cometkiwi,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci
ibm-granite/granite-4.1-8b,test.fr-en.fr.default.out.postproc,39.890581193649034,56.80151635064341,77.55861078202724,77.6648498058319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.footweets.out.postproc,50.7041685393666,66.4648308987624,84.05107556432485,77.75927189588546,300.0,0.4,800.0,77.00884124064197,84.06675961989909,7.0579183792571225,0.6968033408642392,5.619930490851402,8.383176193851975,7.095615448430181,300.0,0.0,0.0,175.43936016990622,1.435492756800836e-303,0.0,1.0,0.0,True,300.0,0.4,800.0,76.08345137320458,77.77098135667543,1.6875299834708373,0.5152379967579364,0.6213579609058806,2.721594433952122,1.7039865441620339,300.0,0.0,0.0,56.72888430316132,4.3641830126480655e-162,0.0,1.0,0.0,True,300.0,0.4,800.0,38.653092171330805,50.75155158621658,12.09845941488577,0.9610788955507193,10.344447822461154,13.883007502713744,12.094855153041351,300.0,0.0,0.0,218.0377333942436,0.0,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.rocsmt.out.postproc,46.15072816182343,62.56190944329288,81.25449932813645,76.88780480027198,300.0,0.4,800.0,77.00884124064197,81.25109265259157,4.242251411949594,0.6439256747666043,2.946630388591443,5.410119819734247,4.3097332771867505,300.0,0.0,0.0,114.1093649766453,1.4735223019548278e-248,0.0,1.0,0.0,True,300.0,0.4,800.0,76.08345137320458,76.89653131267676,0.8130799394721783,0.487290287233136,-0.20595671664923484,1.6635144278407072,0.8660949319601041,281.0,19.0,0.0,28.900550712332677,1.4588797915194534e-88,0.12666666666666668,0.9366666666666666,0.06333333333333334,False,300.0,0.4,800.0,38.653092171330805,46.18121414991484,7.528121978584037,0.8828786946020273,5.810506681372594,9.447081844762895,7.516182639148351,300.0,0.0,0.0,147.68834985151713,1.8239441294833745e-281,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.mmtc.out.postproc,49.934595860846095,65.59174401777985,82.7232359573245,76.45886284857988,300.0,0.4,800.0,77.00884124064197,82.74648441509653,5.737643174454568,0.8221439908765261,4.0957053979858795,7.2312855802476355,5.767702469602226,300.0,0.0,0.0,120.87772463386666,6.985505265352059e-256,0.0,1.0,0.0,True,300.0,0.4,800.0,76.08345137320458,76.48058720476925,0.3971358315646643,0.6586289386557086,-0.8731953751295762,1.619891760963944,0.41936585865914866,218.0,82.0,0.0,10.44380830244214,5.67405228813259e-22,0.5466666666666666,0.7266666666666667,0.2733333333333333,False,300.0,0.4,800.0,38.653092171330805,49.980006166052355,11.326913994721552,0.9527043415942699,9.541855771428818,13.237852061014939,11.31638247978145,300.0,0.0,0.0,205.9273761573323,0.0,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.pfsmb.out.postproc,49.305595806563026,65.0969724378321,83.37901541143655,77.14970549196005,300.0,0.4,800.0,77.00884124064197,83.38015024566403,6.371309005022048,0.7547295497186784,4.910220783669502,7.822116082161662,6.3895102199166995,300.0,0.0,0.0,146.21702451603622,3.495061255512013e-280,0.0,1.0,0.0,True,300.0,0.4,800.0,76.08345137320458,77.15088543237498,1.0674340591703848,0.5720765101832062,-0.04991635344922917,2.147218718007202,1.0824396368116163,289.0,11.0,0.0,32.31823001473177,1.4482820193466511e-99,0.07333333333333333,0.9633333333333334,0.03666666666666667,False,300.0,0.4,800.0,38.653092171330805,49.33148656255956,10.678394391228755,0.9562405638288258,8.97246814216135,12.795742933546133,10.697996616245653,300.0,0.0,0.0,193.41912828723684,0.0,0.0,1.0,0.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.default.out.postproc,38.64050313619716,55.63987822670696,77.0113385617733,76.08415336608887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mistralai/Mistral-7B-Instruct-v0.3,test.fr-en.fr.footweets.out.postproc,52.138766092989805,66.74516871650641,84.22508376091719,79.19399974197148,300.0,0.4,800.0,78.46785559732467,84.22260681488861,5.754751217563947,0.3887436668811912,5.0507411896251115,6.52665671808645,5.7700658570975,300.0,0.0,0.0,256.4034437835848,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,77.18781040745478,79.19125148303809,2.0034410755832988,0.2003714939421959,1.645707292109732,2.4107740179635577,1.9945424105972054,300.0,0.0,0.0,173.18140742523843,6.649176075661174e-302,0.0,1.0,0.0,True,300.0,0.4,800.0,42.52270826258146,51.791440246484534,9.268731983903075,1.2465600872344575,5.438711131394202,11.074002553542316,9.459375652575634,300.0,0.0,0.0,128.78572707614154,5.8875953010399975e-264,0.0,1.0,0.0,True
mistralai/Mistral-7B-Instruct-v0.3,test.fr-en.fr.rocsmt.out.postproc,50.609869211888,65.54539229149276,83.4300156340003,78.89297249168158,300.0,0.4,800.0,78.46785559732467,83.43119158482799,4.96333598750333,0.37090376804351904,4.2693467107601455,5.742393718007949,4.949537126347425,300.0,0.0,0.0,231.77845161125828,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,77.18781040745478,78.89570873462905,1.7078983271742856,0.19699275422544266,1.3090304697863733,2.1043747535906765,1.6889932733029134,300.0,0.0,0.0,150.16626821930558,1.3459851446454459e-283,0.0,1.0,0.0,True,300.0,0.4,800.0,42.52270826258146,50.38203171925664,7.85932345667518,1.1043217514308385,4.392335380988128,9.270028925388036,8.04851661136675,300.0,0.0,0.0,123.26794724854068,2.24590461014578e-258,0.0,1.0,0.0,True
mistralai/Mistral-7B-Instruct-v0.3,test.fr-en.fr.mmtc.out.postproc,52.9619741452773,67.46653706183879,84.61029182076454,79.24171369075775,300.0,0.4,800.0,78.46785559732467,84.60218136217445,6.134325764849783,0.39641572322549146,5.45516849877313,6.898158943932511,6.145402748137707,300.0,0.0,0.0,268.0257939429634,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,77.18781040745478,79.23804163984954,2.0502312323947747,0.1920515522671856,1.6860105415806241,2.383756260760126,2.0515728387981658,300.0,0.0,0.0,184.90372089427026,2.49096723863414e-310,0.0,1.0,0.0,True,300.0,0.4,800.0,42.52270826258146,52.53308202752944,10.01037376494798,1.324632831960413,5.933283008148868,11.969515328966382,10.255970354906513,300.0,0.0,0.0,130.89269377374615,5.003677935053975e-266,0.0,1.0,0.0,True
mistralai/Mistral-7B-Instruct-v0.3,test.fr-en.fr.pfsmb.out.postproc,53.92716123746118,68.54948492938338,85.31344440132379,79.49122890532017,300.0,0.4,800.0,78.46785559732467,85.291125565283,6.823269967958331,0.38604315858767313,6.101507745869453,7.5861941047944175,6.835443045943973,300.0,0.0,0.0,306.1380572446717,0.0,0.0,1.0,0.0,True,300.0,0.4,800.0,77.18781040745478,79.4776337715735,2.289823364118735,0.19679842310064521,1.9076050952076884,2.6879677851684383,2.284706953912974,300.0,0.0,0.0,201.5305989003595,2.016e-321,0.0,1.0,0.0,True,300.0,0.4,800.0,42.52270826258146,53.92850010218129,11.405791839599837,0.7450006165390949,10.020503610079448,12.937504418980076,11.390931007815013,300.0,0.0,0.0,265.1730821179088,0.0,0.0,1.0,0.0,True
